昵称,点赞数,时间,评论
阿林,4,2024/7/14 21:19,说一台车一天的运营成本是500元。天天都在亏本内运行各位想想为什么？
青松,4,2024/7/14 21:17,我想打车的也基本上都是低层人员，他们每省一点不好嘛？！
Supreme丶旭,4,2024/7/14 21:15,生孩子，患急病，想打个车去医院，打到无人驾驶出租车，一丁点不带着急的，也不会有生命竞速
夏忆的风,4,2024/7/14 21:13,万一被入侵了系统 大街上行驶的不就全瘫痪了
向前一点点,4,2024/7/14 21:10,落后就被淘汰，难道不可以吗？
从此侑祢,4,2024/7/14 20:03,对啊，如果全国都实现无人驾驶的士，那试问这些靠跑车养家的人怎么办？我希望国家出台全面禁止或者限制数量！
本色出演000,4,2024/7/14 19:46,？？？？你有想想你在说什么嘛？竟然要逆流而上？不可思议[微笑]
A平常心,4,2024/7/14 19:33,好与不好，他还是来了，你愿意不愿意，他还是来了，这些事不是大多数普通人，决定的，
飞鱼,4,2024/7/14 19:20,1000万司机，可能后面是7000万人，这会造成什么社会动荡？没人管吗
krokodil,4,2024/7/14 19:10,纺织工怒砸珍妮机[赞]
石头,4,2024/7/14 18:44,我想请问一下大家：如果有那么一天，所有120急救车也全都无人驾驶自动化了，试问一下，如果家里有人需要打120急救了，你会怎么选择？？？？
原来,4,2024/7/14 17:38,建议恢复八抬大轿 能解决不少就业问题
ISO学生,4,2024/7/14 16:52,关键是百度憋了十年，憋出这么个大招。一直猥琐发育，不告诉出租车司机[看]
奔波,4,2024/7/14 16:02,又脏又累的建议自动化
男人至死是少年,4,2024/7/14 16:01,先在公务车中推广。
金生有芝,4,2024/7/14 15:53,低层人民的生活能阻碍社会前进的脚步吗？！
大丞子,4,2024/7/14 15:52,大家注意区分，科技进步和资本垄断的区别。
京城磊子,4,2024/7/14 15:01,再这样一去，社会不会稳定，
全能男人,4,2024/7/14 14:49,无人驾驶是否涉嫌侵犯公众隐私权，肖像权
钧豪（晋中鼎盛珠宝）,4,2024/7/14 14:46,网购把实体干倒了你的收入没提升反而更低！人只有挣钱才会消费！所以越原始人才会消费！
莫尘,4,2024/7/14 14:45,我就是一名网约车司机，找工作吧！年龄大了过35人家不要，家有老小，
??德道子,4,2024/7/14 14:40,
凡,4,2024/7/14 14:40,等特斯拉进中国搞？还是等我们自己品牌搞
苏苏苏苏苏,4,2024/7/14 14:33,为什么无人驾驶可以行得通、打车价格便宜…
CC,4,2024/7/14 14:30,每一个进步都很重要，为什么这么多人去打压？
旧货商,4,2024/7/14 14:30,我也支持出租车司机，但是我每次打车多出来的20块钱你给我报销不？
笨,4,2024/7/14 14:30,听不懂你想表达什么
93301400227,4,2024/7/14 14:22,有个疑问，如果这个无人驾驶车ō?≡o出了车祸，并且这个车还是主要责任，请问这个责任，由哪个人来担责？
海边看花,4,2024/7/14 14:13,制造业升级让多少人无业可就，那些上有老下有小的中年人重新学习去谋生这才几年，现在还有什么行业可以接盘
夜光,4,2024/7/14 14:10,这种只会让资本更加集中，工作岗位更少
老杨,4,2024/7/14 14:06,支持主播[赞][赞][赞]
......,4,2024/7/14 14:04,主要是安全的问题[酷拽]
stranger。,4,2024/7/14 14:03,霍金不是说，让人类在人工智能领域的探索不要太深了吗？咋越来越多了[我想静静][我想静静][我想静静]
抖动心情,4,2024/7/14 13:55,说得太好了[赞]一个月没收入就代表一个月没钱还房贷车贷[捂脸]
溜达??溜达,4,2024/7/14 13:52,这种机器产生的收益交税反过来提升人们生活品质才是对社会对人们有益[赞]
韩  杰。,4,2024/7/14 13:49,为思考点赞
知愿????????,3,2024/7/27 1:39,提问，1 个司机一天可以服务多少乘客？我猜的昂，大概 20 位乘客，一个乘客单趟支付费用 20（取大概平均值），无人驾驶出来后，人均成本如果能降低到 8-10 元，何乐而不为呢？对不起啊各位，我感觉这个社会唯一不变的就是变 。sorrysorry 仅代表个人观点。
平常心,3,2024/7/22 15:25,观点太偏激了。
回到过去→,3,2024/7/22 0:00,能不能发明个无人上班？
舍得好物优选,3,2024/7/21 14:29,无人驾驶技术应用到私家车，就已经会慢慢的影响出租车网约车收益了，也有很多人会竟争下岗了[发怒]
??YYDS??,3,2024/7/21 5:27,等机器把大多数人的饭碗砸了，一家老少没饭吃了。社会会变成什么样？
啵滋一记,3,2024/7/20 22:58,就该全面推广，我们需要科技服务，为什么需要司机？无人驾驶技术可以取消驾照
???????????????小猫,3,2024/7/20 21:53,我并不反对人工智能。这个视频是站在那些人的视角上来看待问题。那现在市场工作饱和工作的的机会真的很少呀。虽然很支持国家科技的发展，但是人们的生计更重要，我个人感觉有点两难的感觉
乡宁县德武堂武道俱乐部,3,2024/7/20 17:53,如果网络外侵这将全部破坏
DJ老师,3,2024/7/20 11:08,上海弄萝卜我没啥意见，但是能不能先把电动自行车引进来啊，别的城市都有啊
万灭之殇,3,2024/7/20 8:06,萝卜高了再回去坐出租车，顺风车，但我们就想要一个良性的竞争平台而不是垄断
臣見,3,2024/7/19 23:01,萝卜必须消失
平凡人生,3,2024/7/19 19:30,如果在无人车里放一个定时炸弹，会不会让车去到繁华区会怎么样？
往事随风@,3,2024/7/19 15:27,这个到底是中央允许，还是地方政府自己允许？
Tony.bo,3,2024/7/19 12:48,什么都不用人了，人没了收入，那谁来消费
泓霖,3,2024/7/19 12:32,给人类自己一个出路，必定机器也是人类制造的，到头来自己要被代替，也确实令人心寒。
An,3,2024/7/19 10:22,公交车路线固定为什么不无人驾驶！恐怕是有些人不同意吧！
那又如何,3,2024/7/19 10:11,是的我就是找不到工作。 每天16小时赚钱养家。孩子还小老婆出不来。 一个人在上海省吃俭用。
情??????圆,3,2024/7/19 9:54,科技以财富掌握在少数人手里
西安秋老师聊学历,3,2024/7/19 9:27,水能载舟 亦能覆舟，科技也会让人类承担不该有的后果[比心]
月暮几许,3,2024/7/19 8:11,我还有个问题，比如有人出车祸了，或者要生孩子，打到了一辆无人驾驶出租车，需要在安全的前提下闯红灯，安全的前提下超点速，无人驾驶可以把人按时送到位吗，五分钟的路还是按平时跑半小时，因为需要绕路，你怎么办[看][看]
谷德猫腻,3,2024/7/19 7:00,最可怕的是这边科技代替人工，那边还让生二胎三胎，我就想问问，大家都没工作了，二胎三胎谁来养
韩,3,2024/7/19 6:54,支持无人驾驶
借过……T^T,3,2024/7/19 2:41,其实对老百姓而言，谁便宜，谁服务好，我就选谁[尬笑]
熊猫超人,3,2024/7/19 2:01,科技的变革不会为了个人而停下脚步
西装,3,2024/7/19 1:42,很简单，萝卜不上，马斯克的就先上，仅此而已。总有一个先上，国家选择让国内企业先上罢了
阿鸡米得,3,2024/7/18 20:05,这是大自然规律，优胜劣汰。有些工种只会越来越少。就像工厂的工人也会被机器代替。
幻城。,3,2024/7/18 18:17,说的太对了，为什么总是把别人的饭碗砸了，我觉得就是因为资本要把所有钱都自己挣。让别人无钱可挣
我本佳人,3,2024/7/18 13:37,深圳出租车师傅两个小时接不到活，满街萝卜跑，一把辛酸泪！[流泪][流泪][流泪]
爱的味道！,3,2024/7/18 13:30,主播说的太好了[赞]
老许 ?快跑,3,2024/7/18 12:20,如果战争来临，这些无人驾驶车会变成什么？
精致生活每一天,3,2024/7/18 11:48,现在有钱人少了，只能赚我们老百姓的钱了
Q u ee n,3,2024/7/18 11:17,"要符合国情
中国还是发展中国家
一个行业改变不是影响一个行业而是影响整个国家
（懂蝴蝶效应吗）"
奶的力量,3,2024/7/18 9:45,技术不落地有什么用，这是趋势，为中国加油[赞]
彡拾,3,2024/7/18 8:21,时代的浪潮永远再不断的淘汰，就如新媒体出现淘汰了报纸一样，可能大家现在义愤填膺，可该来的总会来的。现在不淘汰，不久的将来也会淘汰。
高级狗,3,2024/7/18 4:14,有无人网约车以后就有无人公交车 科技在发展 国家在进步 我支持无人网约车
Saven,3,2024/7/18 3:52,滴滴以前也是便宜，后面便宜吗，我还是喜欢坐网约有人驾驶车[愉快]
心有灵犀,3,2024/7/18 2:50,网约车司机的收入最终还是流向社会，使社会经济更好的循环，请问无人驾驶的收益是流向哪里？
冷调 ?先森,3,2024/7/18 1:06,你是我看见第一个发声的人
唐子,3,2024/7/17 22:59,都说了，如果种田有钱赚，农民将无田可种！
??浮梦??,3,2024/7/17 22:29,我是不会坐的，免费我也不坐，从来不喜欢占那点便宜
阿星??,3,2024/7/17 21:52,网约车、的士平均从业年龄在35-45岁，请问这些人下岗了，还有什么岗位能让这些老百姓选择？
骁,3,2024/7/17 21:43,他们根本就不关心谁的饭碗问题，在巨大的利益面前任何人都无法阻止时代的车轮[捂脸]
入戏太深,3,2024/7/17 20:59,出租车司机，一人车里背个信号屏蔽器，看到萝卜快跑就开机，
信司门窗,3,2024/7/17 20:30,崔磊太激动了，这就是科技时代的发展。没有必要这么激动！
夜、,3,2024/7/17 19:49,就平你今天这个视频，这一帆发言。以后我就你铁粉了。
平淡,3,2024/7/17 16:51,为思考点赞！[赞]为崔磊点赞！[赞]
季末?,3,2024/7/17 16:42,无人驾驶，无人超市，无人酒店，无人商店，无人。。。。无人地球
雨夜,3,2024/7/17 14:21,每次有新东西出现就有人反对，实体店还一直说网购呢，网购该发展还不是要发展，
张超维,3,2024/7/17 14:19,重点是财富分配的问题[九转大肠]人民有钱，消费力才能起来[九转大肠]机器人解决商品通胀问题，经济良性循环[九转大肠]
毛土豆,3,2024/7/17 14:03,[白眼]打无人驾驶车的，都不怕出事的吗？
其实很简单,3,2024/7/17 13:56,谁能保证采集的大数据不被泄漏到国外！立马卸载百度
努力，梦想,3,2024/7/17 12:35,真正的科技不可以牺牲民生为基础。
浏阳河边,3,2024/7/17 12:18,说得对，应该恢复八抬大轿，这样每个人都有工作
鸿运通风设备,3,2024/7/17 11:29,很简单，谁实惠我用谁的，谁遵守交通规则我用谁的，谁没脾气我用谁的。
穿拖鞋闯江湖,3,2024/7/17 10:48,没有工作到时候就会出现大量的违法犯罪的人，到时候就乱了
阿特兰?,3,2024/7/17 8:40,高层不想一想，人没工作了能干啥？
秀秀妈,3,2024/7/17 8:25,说出了人民的心声[赞][赞][赞]
福达造价咨询所,3,2024/7/17 6:50,政府有定价权，也可以出台专项税收。通过经济手段，控制住事态的蔓延。
????平安,3,2024/7/17 6:21,科技进步，人口只能越来越少
润泽,3,2024/7/17 6:17,时代在发展，科技在进步，谁也挡不住[灵机一动]
缘莱,3,2024/7/17 5:59,无人驾驶网约车必须限时，限地点使用，比如后半夜，只能机场和火车站接客，而且赋税要高[吃瓜群众]
無涯,3,2024/7/17 3:05,就是要支持萝卜快跑，现在的出租车太贵了，服务态度又差。
①②③④,3,2024/7/17 2:44,便宜就坐
一个孤独的潜行者,3,2024/7/17 1:45,"技术的革新，如果是对人名有益，我支持！对人民利益有冲突，我不支持"
迎风-,3,2024/7/16 23:58,"存在安全隐患，又有谁明白了什么？
到时候汽车有可能会是某些分子的武器！"
臸於终佬,3,2024/7/16 23:50,说啥也没用，趋势改变不了
845142624,3,2024/7/16 23:35,讲的很好[赞][赞][赞]，没有了工作想想后期会发生什么事情。。。。不敢说。。。。
星辰??,3,2024/7/16 23:16,支持无人驾驶，缷载百度，从我做起[灵机一动]
深海澜,3,2024/7/16 23:13,互联网科技公司巨头高管必须中国籍，若高管特别是控股人大股东移民国外，就没收其公司企业股份为国有
支奥兆,3,2024/7/16 22:37,等规模打了就直接涨价这个不用问 别看现在便宜
渣小六,3,2024/7/16 22:12,无人驾驶技术的应用范围不该在出租车上。应该在那些高危行业。为主播的观点点赞
李干啥子耶,3,2024/7/16 21:55,我的老公在成都跑滴滴，平均下来一天350，在线时间至少12h，350元还要除去吃饭，充电……心酸
龙凤呈祥,3,2024/7/16 21:49,把人工智能用在军事上才是正理！
力力  ???? ???,3,2024/7/16 21:35,我只担心无人驾驶会不会涨价[捂脸]
Heidi,3,2024/7/16 21:13,不要喷我啊，我第一反应的是，你们在讨论的难道李宏彦不知道吗？，他既然实现了就不会顾虑这些，所以你们的探讨讲给老百姓听只会带来焦虑，如你们有能量的博主应该直接质问李宏彦
无忧无虑YF,3,2024/7/16 19:43,车证都没有就营运，还收支平衡 盈利？现在还属于涉嫌非法营运状态吧？
BlowingWind,3,2024/7/16 19:33,说的真好，懂得真多
梦想军哥,3,2024/7/16 19:07,科学家们能不能国防无人化，为什不把高科技不用在高危行业上呢？
依然^_^天命,3,2024/7/16 18:04,今年无人出租能畅通，明天年货运司机就会被代替，后面快递员被代替，接着超市服务员，酒店服务员，工厂无人机降全面进入，随后机器人搞科研，机械入侵人类从中国开始[微笑][微笑][微笑]
朗亦,3,2024/7/16 17:39,科技以人为本，科技不应该跟人来争夺工作。
里猴啊??????,3,2024/7/16 16:33,为什么不投资国外市场，国外人口少，中国不缺人。国外研究高科技和国内研究高科技的用途为什么不一样？！
社会小学生,3,2024/7/16 16:19,没说到点上，关键是技术不成熟，应该配个安全员。即使L3也要有安全员，更何况我国只发了L3的牌照，没全面开放。根本没达到L4就无人驾驶，只看到了急功近利和资本垄断，没看到科技突破。
太阳??之子,3,2024/7/16 16:15,实话实说。讲的透彻。[赞][赞][赞]
妞小胖,3,2024/7/16 16:04,看了那么多博主的评论，就只有你是站在民生的角度为广大的网约车司机发声[赞]
雷先生嘚何小姐,3,2024/7/16 16:03,已经卸了
铁担哥,3,2024/7/16 16:01,分析的非常到位，欲速而不达。
??Mr.Yeo?,3,2024/7/16 14:38,最后两根稻草：外卖员、司机。再下去，能干嘛？工地做苦力？吉祥三宝？[发呆]
如风过境,3,2024/7/16 14:09,可以淘汰，这个事故率确实太高了，安全的情况下双手支持
纽扣,3,2024/7/16 14:04,公务车先试点才不违背世道
佩吉|缔秀伊美（招加盟）,3,2024/7/16 14:03,坚决反对无人驾驶取代网约车
东方洪,3,2024/7/16 13:47,这次对你的看法不敢苟同！我们现在不推进无人驾驶技术，马上马斯克就会进入中国市场，一旦马斯克占领了中国市场，到了那个时候我们该怎么办？ [捂脸] 现在应该就是最佳时机！ [抱拳]
我与游戏不共戴天,3,2024/7/16 13:43,谁批准的无人车上路，这个是真好奇
曹先森,3,2024/7/16 13:42,有本事发明的战斗机导弹黑武器
老黎的挖掘机,3,2024/7/16 13:41,我们的国情不太合适
语涵爸爸,3,2024/7/16 13:35,我想知道无人驾驶会不会给救护车消防车让道[捂脸]，纯好奇
OnIy  one,3,2024/7/16 13:35,马斯克一直玩星链，我们则盯着网约车
大湖向东流,3,2024/7/16 13:31,这种无人驾驶就应该投放到不好打车的地方来弥补打车困难的问题！[泣不成声]
余生渡劫（柒滴血）,3,2024/7/16 13:24,"说得太对了，给你点赞，[赞][赞][赞]。
资本家有那钱去研究无人驾驶直升机，去服务那些有钱的资本家，去赚有钱人的钱"
手机用户51579904029,3,2024/7/16 13:21,支持罗跑，支持国家科技。
杨航,3,2024/7/16 13:21,虽然问题很多，但是大势所趋，不可阻挡！
梦回高老庄,3,2024/7/16 13:17,谁便宜我就用谁，有什么问题吗
Zzz,3,2024/7/16 13:00,萝卜快跑在重庆能找到路吗[捂脸][捂脸]
孤矢.,3,2024/7/16 12:55,外卖一开始几毛钱够一家人吃饱 现在一个人点个几十块都没什么东西而且有时候还不得不点 都没教训的吗[尬笑]
Carlos郁,3,2024/7/16 12:54,这其实跟手机一样，苹果手机刚出来的时候，不也是革了很多人的命，而且智能手机刚出来的时候，也没有给人多少时间来等待，而且汽车跟手机一样，都需要实践来让技术更成熟！看看现在的智能手机成熟度，这都是靠实践来完善的
只求一笑，足矣,3,2024/7/16 12:48,其实这个反对那个反对，只要市民都不坐不就自动歇菜了
鳜见愁????,3,2024/7/16 12:38,我最担心的还是天上的太阳月亮会不会掉下来砸到我，如果真掉下来砸到我怎么办？
崔海奎,3,2024/7/16 12:09,发达国家都有无人驾驶出租车吗？
?陈,3,2024/7/16 12:08,影响得不仅是司机，司机没工作会涌入其他行业，连带影响
云淡风轻,3,2024/7/16 12:00,科技发展应该是造福人类的，不是干掉人类的
汪得福,3,2024/7/16 11:52,这些师傅没车开了可以把闲置的房产租出去收租金啊
非黑即白,3,2024/7/16 11:39,无人驾驶技术可以用到公交车固定线路，公交集团省下一大笔巨款。[看]
春哥vlog,3,2024/7/16 11:39,说白了就是“科技发展与就业的矛盾”。科技发展是大势所趋，只是科技发展应该造福人民，让人民过上幸福生活。
珍惜一生,3,2024/7/16 11:09,老百姓还吃饭吗
春@秋∞,3,2024/7/16 11:07,是的，中国现在是14亿人口啊，不是只有3~4亿人口啊，大量的机器人使用时间没到啊
Dragon in Clouds,3,2024/7/16 11:04,无人驾驶出租车没毛病，关键是你得给这么多司机安排好出路
～浪人～,3,2024/7/16 11:01,如果被黑客攻击，城市交通会瘫痪[赞][赞][赞]
虾蟹好滋味,3,2024/7/16 10:55,支持萝卜快跑
劉寬,3,2024/7/16 10:49,出租车没想到会有网约车，网约车没想到会有无人驾驶网约车！
雨一山,3,2024/7/16 10:48,被外国攻破网络，后果不敢想象
黑夜只给了我寂寞,3,2024/7/16 10:37,一千多万人只是一个城市的吧那么多城市应该好几亿人吧
彬彬有礼,3,2024/7/16 10:31,发生严重交通事故，需负刑事责任的时候应该判谁？
音悦人生,3,2024/7/16 10:19,无人驾驶技术可以解放人的双手。可以解放人的大脑，使人更方便地出行。但是在公交系统出租车，网约车等最好是禁止进入，不能因为廉价方便而夺人饭碗。
离人。,3,2024/7/16 10:18,干啥不行非得动根基，就跟一栋楼房一样，根基不稳了，塌方也只是时间问题。
十一郎?,3,2024/7/16 10:12,卸载百度从我做起[灵机一动]
独自安好,3,2024/7/16 10:08,过度取代工作岗位，人怎么活，
昆明好房咨询,3,2024/7/16 10:05,对于普通老百姓来说，反对有效吗？老百姓斗得过资本吗？
vivitian,3,2024/7/16 10:01,首先提升驾驶员素质，提升服务态度，提升汽车干净整洁。这些有了，在无人都没人去坐
发如雪,3,2024/7/16 10:01,我们不反对科技的发展 只希望能用对地方[比心]
禁止蕉绿????,3,2024/7/16 9:58,真的后悔生孩子了
D.L,3,2024/7/16 9:45,说得太好了[比心]，一个最不缺人的国家非要用无人驾驶取代劳动力
胡楊,3,2024/7/16 9:05,社会发展还是以人为本
小洛不会开帕萨特,3,2024/7/16 8:54,卸载百度，拒绝萝卜。顶起来[流泪]
寿元,3,2024/7/16 8:48,这是历史的车轮，要发展就有牺牲，牺牲一部分人的利益能让中国科技飞跃值得！
江戈,3,2024/7/16 8:43,你知道什么是特斯拉Robotaxi吗？时代在进步，你不进步有的是人替你进步。
路.是自己走出来的,3,2024/7/16 8:40,火车，高铁，飞机都可以无人架驶啊！
哈哈哈哈哈哈……,3,2024/7/16 8:38,我就一个问题。你就说科技都无人了，那还让人生孩子干嘛？
（17）岁??,3,2024/7/16 8:27,通过了审批能上路就是政府支持，说再多也没用。
娜,3,2024/7/16 8:27,罗卜应该先用在公务车上或私家车上
般若,3,2024/7/16 8:04,说实话，我国内还有好多高危职业列如蜘蛛人，高塔换灯，这类的，愣是没有一个能去做的。
紫色爆米花,3,2024/7/16 7:42,科技要发展是好事，但是我们能不能先把吃饭问题解决？科技啥时候发展到我们不用吃饭？人工智能就可以出现了[捂脸][捂脸]
、采臣哥哥,3,2024/7/16 7:16,便宜是便宜   就是有点扰乱交通
思念,3,2024/7/16 7:08,运用到军事上不好么？？？为什么总是挤压人们的生存空间？？？哎
雲泉烽,3,2024/7/16 6:57,新的岗位在哪，不用人了怎么转型，让人干啥呢[打脸]
何为人生,3,2024/7/16 6:51,资本运作太可怕了
江湖,3,2024/7/16 6:34,如果永远那么便宜，就支持
陆共富,3,2024/7/16 6:23,科技应该为大众服务，不是成为个别人赚钱工具。
涛GG,3,2024/7/16 6:21,已经卸载百度 我做不了别的
hgbh,3,2024/7/16 6:15,落后就要挨打。无人出租车收入把出租车司机的养老问题解决了。也可以。
万事亨通,3,2024/7/16 6:11,时代，科技在进步，落后就会被挨打，14亿没必要去迁就1千万，虽然我也是代驾司机，你我阻止不了的
小淡总（蛋总授权号）,3,2024/7/16 5:50,今天气的崔磊都声嘶力竭了[鼓掌][鼓掌][鼓掌][鼓掌][灵机一动][灵机一动]
【命中注丁】,3,2024/7/16 4:37,高科技是用来助人不应该是杀人
路人粉,3,2024/7/16 4:06,什么都无人，那人干什么
深夜恒歌（拍一千条视频）,3,2024/7/16 3:23,最简单的，中国人口那么多本来人工就不值钱，还搞这些无人的那么多人怎么活，那大家只有弄一个无人还贷了
谜??,3,2024/7/16 2:27,早几年出来我就不生孩子了
东拉河的春天,3,2024/7/16 2:23,希望，中国不是资本横行的天堂；希望，政府应该约束资本在中国的胡作非为；希望，政府知道，有些事情，存在，不一定合理[比心][比心][比心]
锋儿哥吖,3,2024/7/16 2:03,如果我把钱付给司机，他们会用于柴米油盐，资金流入市场，可交给ai，钱只会流向一个地方[流泪]
潇洒,3,2024/7/16 1:53,等大家都没工作了还打车出去干嘛？
K～k,3,2024/7/16 1:14,主要是隐患太大了，要是有黑客入侵整个城市就乱了。想想车门打不开刹车失灵 180 的速度冲向人群。还是方向盘握在自己手里有安全感[抱拳]
嘎吱嘎吱脆,3,2024/7/16 1:14,咦 怎么发不了信息了  大家试试[泪奔]
踏碎星河,3,2024/7/16 0:52,终于有人明白人说实话了
chenesta,3,2024/7/16 0:36,可是他们不给我开空调啊，还有可能绕路，态度不好，废话连篇，音乐声特大，我支持无人驾驶替换这些不好的司机。
江夏八分山龚教练、（学车日常小号）,3,2024/7/16 0:31,支持取缔，科技改变生活。但是要考虑老百姓的生存[比心]
我就是我,3,2024/7/16 0:20,@陈年黄酒??: 说的好，这真不叫科技，这是生意，人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！如果我把钱付给司机，他们会用于柴米油盐，资金还会流入市场，可交给ai，钱只会流向一个地方。
（天匠装饰建材批发）清远运营中心-老蒋,3,2024/7/16 0:18,那些单位，部门什么时候也能无人，办事一事同仁，效率就不一样了[呲牙]
??????,3,2024/7/15 23:51,他什么时候取代出租车了啊 出租车招手即停有纸质发票还可以现金付款 他谁也取代不了 只是让人民多一个出行选择
小天哥????,3,2024/7/15 23:49,人都会生病 有失误的时候 我不信它一辈子不会坏不会失灵  万一赶上它失灵时识别不了直接开到河里去 自己不是小命不保 我还是觉得自己掌握方向盘才有安全感
吉林源家合十房地产经纪有限公司,3,2024/7/15 23:49,大势所趋，不可避免，用不了多长时间，就是接受，改变不了只能接受，
千杯不醉,3,2024/7/15 23:42,如果无人驾驶，被黑客入侵撞死仇人，咋办？
雪松,3,2024/7/15 23:40,给你点赞??。同时请您呼吁相关部门开拓市场，为广大民众提供更多的工作岗位
゛ ?ゞ。故里 _,3,2024/7/15 23:37,我不知道萝卜快跑是啥意思，但是股东知道，除了一个是中国以外其它全是国外的股东
书香帝,3,2024/7/15 23:36,试验一下就罢了，千万别推广到全国，咱们人口只剩3亿时再推行吧！
雨雾,3,2024/7/15 23:32,夺人饭碗如杀人父母，太过分必遭反噬
威威满满,3,2024/7/15 23:30,支持罗卜电车纳入国家政府专用车，能帮政府解决专职司机问题。
WANG*滔,3,2024/7/15 23:23,城市化建设，土地经济8亿农民都可以舍，一千万司机就不能舍了[捂脸][捂脸][捂脸]。
袁宇宙,3,2024/7/15 23:20,一直以来都是这样，太多太多，只有接受，不接受只能是淘汰，想一想你现在用着的电脑，再想一想手上的手机，淘汰了多少行业？更新替换，必然的。
"路在人走,事在人为",3,2024/7/15 23:10,别被带节奏了，它可不是无人驾驶，车上写着远程驾驶，说白了就是大号的遥控玩具车。
安康是福,3,2024/7/15 23:01,无人驾驶是需要安全员的，目前有随车的安全员，也有远程的安全员，无人驾驶车辆维护也是需要人的，随之出现的岗位会越来越多！并不是要取代谁
水中鱼,3,2024/7/15 22:53,
张瑞军001好人,3,2024/7/15 22:49,把生命交给电子信号，太草率了，坚决不用
飞翔的小鱼,3,2024/7/15 22:37,我是支持无人驾驶，但是要用在私家车上。让我们上下班可以休息
?流星?追月?,3,2024/7/15 22:35,看明白
刘児,3,2024/7/15 22:35,已经麻木了，大部分人只觉得好奇 因为这是慢性“中毒”[尬笑]
绝壁小草,3,2024/7/15 22:34,最后几句是精典
東來壹鎶,3,2024/7/15 22:26,支持萝卜快跑无人驾驶网约车，希望无人驾驶网约车在全国普及并尽快投入使用！
$$....,3,2024/7/15 22:26,我只是觉得越来越多的人会没有工作，原本是一个蛋糕一群人分，但最起码大部分人都有一点，但现在是一个蛋糕部分人分，最后都流向一个部分
悟空探世界,3,2024/7/15 22:25,要是打仗的时候这些车有风险存在
粤E,3,2024/7/15 22:25,我想问一下老年人不懂玩手机怎么打车[抠鼻]
°Distance丨?清風 ??北觅??,3,2024/7/15 22:20,换种角度想事情自然可迎刃而解 如果非要钻牛角尖那是认知能力和自己的问题 我们从来不反对“无人驾驶技术”的落地 正如所说的 不给人留条路 自然 欲速则不达！
三世一,3,2024/7/15 22:15,不用萝卜，是我能给予的最后支持
旺鎶,3,2024/7/15 22:15,无人智能还是用战场上吧，全上机器人，就没有人员伤亡了[泪奔]一个人都别上战场就没有家破人亡的悲剧了。
>>流年<<,3,2024/7/15 22:14,我们不是反对萝卜，只是反对萝卜用低于运营成本的价格去扰乱市场！
庆哥,3,2024/7/15 22:12,删除，百度的所有产品，不用百度了
闻香知酒,3,2024/7/15 22:12,科技不应该是打劫，科技应该更好的服务人类，科技应该服务民生。
恩施佳煊品牌冰淇淋.,3,2024/7/15 22:09,"以前：科技以人为本，
现在：科技抑人为本，"
【好吃狗】互关,3,2024/7/15 22:07,支持无人驾驶网约车
豪雅传奇,3,2024/7/15 22:05,我也是网约车司机，我能被淘汰了也为所谓，主要是谁能保证战时的安全，这种车到时候就是一个个定时炸弹
捡破烂换奔驰,3,2024/7/15 22:03,这车我是不会坐，我不想把生命交给电脑
谈先森,3,2024/7/15 22:01,网约车司机可以去制造业啊，制造业现在找不到人，都去开网约车，送外卖，做代驾了[捂脸]
QQQ,3,2024/7/15 21:58,科技进步不可阻挡，谁阻碍科技前进，谁就是阻碍中华民族崛起的罪人
五七七七,3,2024/7/15 21:55,中国的无人驾驶崛起势不可挡[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
独行快，众行远,3,2024/7/15 21:52,发展高科技没错，AI也没有错，你把代替人工的钱多交点税，再给老百姓，带来更多的福利，也是一个未来发达国家的趋势
剪影,3,2024/7/15 21:51,网约车，出租车的收入会出，百度只会吸取资金。太可怕了
用户5354580213392,3,2024/7/15 21:50,我刚刚卸载百度，不为别的只为千万同胞的饭碗
般若238192900,3,2024/7/15 21:50,我不相信无人驾驶，太没安全感了[酷拽][酷拽]
人要靠自己@,3,2024/7/15 21:47,不要让资本龚断了普通人的基本生活
????~可能~????,3,2024/7/15 21:44,中国还需要人吗?[捂脸][捂脸][捂脸]
专渡有缘人,3,2024/7/15 21:24,投放不投放无人出租车我们老百姓说了不算，但是我可以不去座无人出租车啊
海涛DD,3,2024/7/15 21:23,对消费者来说，谁便宜？！
虹姐不红（银河健身）,3,2024/7/15 21:23,开滴滴，出租的都是中年以上的家庭支柱，哪个新的岗位可以替代，如果有，还开什么出租车！
Lisa ? 莎菲,3,2024/7/15 21:09,北京的萝卜快跑听说目前是亦庄和首钢园内有！其他区域还没有好像，不过我还是希望有司机师傅的网约车！[送心]
??L~娴??,3,2024/7/15 21:04,担心，我们能怎么办？国家知道这事吗？如果知道，他们怎么会放任不管呢？
蔡建峰,3,2024/7/15 21:02,时不我待，马斯克的FSD马上就要落地了！在人工智能领域中美实力对比，大漂亮算力更牛，我们应用场景更牛，如果我们现在不发力，我们的优势讲荡然无存！争分夺秒，时不我待！
逢尹必赞,3,2024/7/15 20:52,老百姓都种点粮食自己吃就行了，不卖粮行不行呢
可爱的-熊猫,3,2024/7/15 20:50,老百姓得到实惠就行
